"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1277","300 Hayes Street, Civic Center, San Francisco","744","Monte Bello Road (Trail), Cupertino","10/1/2017 - 10/31/2017, Every day, Daily Average",2814,2257,3507
"1277","300 Hayes Street, Civic Center, San Francisco","749","1400 Magazine Street, Vallejo","10/1/2017 - 10/31/2017, Every day, Daily Average",2249,1870,2704
"1277","300 Hayes Street, Civic Center, San Francisco","756","900 Wood Lane, Petaluma","10/1/2017 - 10/31/2017, Every day, Daily Average",2885,2366,3517
"1277","300 Hayes Street, Civic Center, San Francisco","805","1400 San Rafael Street, Estudillo Estates - Glen, San Leandro","10/1/2017 - 10/31/2017, Every day, Daily Average",1831,1289,2599
"1277","300 Hayes Street, Civic Center, San Francisco","808","3000 Adeline Street, Clawson, Oakland","10/1/2017 - 10/31/2017, Every day, Daily Average",1127,784,1618
"1277","300 Hayes Street, Civic Center, San Francisco","809","200 Santa Rosa Avenue, Grand Lake, Oakland","10/1/2017 - 10/31/2017, Every day, Daily Average",1161,829,1624
"1277","300 Hayes Street, Civic Center, San Francisco","810","2700 Pleasant Street, School, Oakland","10/1/2017 - 10/31/2017, Every day, Daily Average",1309,960,1783
"1277","300 Hayes Street, Civic Center, San Francisco","811","1000 66th Avenue, Coliseum, Oakland","10/1/2017 - 10/31/2017, Every day, Daily Average",1978,1554,2517
"1277","300 Hayes Street, Civic Center, San Francisco","812","2000 Francisco Street, North Berkeley, Berkeley","10/1/2017 - 10/31/2017, Every day, Daily Average",1553,1168,2064
"1277","300 Hayes Street, Civic Center, San Francisco","813","2500 Parker Street, Elmwood, Berkeley","10/1/2017 - 10/31/2017, Every day, Daily Average",1728,1294,2306
"1277","300 Hayes Street, Civic Center, San Francisco","814","1400 168th Avenue, San Leandro","10/1/2017 - 10/31/2017, Every day, Daily Average",2027,1504,2731
"1277","300 Hayes Street, Civic Center, San Francisco","815","2600 Oliver Drive, Glen Eden, Hayward","10/1/2017 - 10/31/2017, Every day, Daily Average",2229,1849,2685
"1277","300 Hayes Street, Civic Center, San Francisco","817","400 Oxford Way, Belmont","10/1/2017 - 10/31/2017, Every day, Daily Average",1688,1335,2133
"1277","300 Hayes Street, Civic Center, San Francisco","818","700 Bay Road, Staumbaugh Heller, Redwood City","10/1/2017 - 10/31/2017, Every day, Daily Average",1994,1570,2531
"1277","300 Hayes Street, Civic Center, San Francisco","824","900 West Parr Avenue, San Tomas, Campbell","10/1/2017 - 10/31/2017, Every day, Daily Average",3167,2762,3630
"1277","300 Hayes Street, Civic Center, San Francisco","829","7800 Lilac Court, Cupertino","10/1/2017 - 10/31/2017, Every day, Daily Average",2939,2459,3512
"1277","300 Hayes Street, Civic Center, San Francisco","830","2200 California Street, Mountain View","10/1/2017 - 10/31/2017, Every day, Daily Average",2754,2297,3300
"1277","300 Hayes Street, Civic Center, San Francisco","834","7700 Lakeville Highway, Petaluma","10/1/2017 - 10/31/2017, Every day, Daily Average",2753,2223,3407
"1277","300 Hayes Street, Civic Center, San Francisco","843","2400 Channing Way, Southside, Berkeley","10/1/2017 - 10/31/2017, Every day, Daily Average",1808,1356,2409
"1277","300 Hayes Street, Civic Center, San Francisco","858","600 Geneva Avenue, Outer Mission, San Francisco","10/1/2017 - 10/31/2017, Every day, Daily Average",923,647,1315
"1277","300 Hayes Street, Civic Center, San Francisco","859","2200 24th Avenue, Sunset District, San Francisco","10/1/2017 - 10/31/2017, Every day, Daily Average",1122,863,1458
"1277","300 Hayes Street, Civic Center, San Francisco","860","2300 Cabrillo Street, Richmond District, San Francisco","10/1/2017 - 10/31/2017, Every day, Daily Average",847,624,1149
"1277","300 Hayes Street, Civic Center, San Francisco","863","2400 Filbert Street, McClymonds, Oakland","10/1/2017 - 10/31/2017, Every day, Daily Average",1470,1029,2099
"1277","300 Hayes Street, Civic Center, San Francisco","864","22400 Victory Drive, Longwood - Winton Grove, Hayward","10/1/2017 - 10/31/2017, Every day, Daily Average",1990,1516,2611
"1277","300 Hayes Street, Civic Center, San Francisco","866","0 Bernard Street, Nob Hill, San Francisco","10/1/2017 - 10/31/2017, Every day, Daily Average",609,400,927
"1277","300 Hayes Street, Civic Center, San Francisco","867","2200 Post Street, Western Addition, San Francisco","10/1/2017 - 10/31/2017, Every day, Daily Average",380,255,565
"1277","300 Hayes Street, Civic Center, San Francisco","868","500 Diamond Street, Noe Valley, San Francisco","10/1/2017 - 10/31/2017, Every day, Daily Average",679,510,902
"1277","300 Hayes Street, Civic Center, San Francisco","870","1800 Marshall Petaluma Road, Petaluma","10/1/2017 - 10/31/2017, Every day, Daily Average",2424,2058,2853
"1277","300 Hayes Street, Civic Center, San Francisco","881","3600 South Court, Fairmeadow, Palo Alto","10/1/2017 - 10/31/2017, Every day, Daily Average",2767,2058,3718
"1277","300 Hayes Street, Civic Center, San Francisco","885","6300 Colby Street, Upper Telegraph, Oakland","10/1/2017 - 10/31/2017, Every day, Daily Average",1511,1085,2102
"1277","300 Hayes Street, Civic Center, San Francisco","886","4400 Telegraph Avenue, Temescal, Oakland","10/1/2017 - 10/31/2017, Every day, Daily Average",1214,836,1762
"1277","300 Hayes Street, Civic Center, San Francisco","887","1300 Santa Fe Avenue, Northwest Berkeley, Berkeley","10/1/2017 - 10/31/2017, Every day, Daily Average",1571,1202,2052
"1277","300 Hayes Street, Civic Center, San Francisco","888","300 Annette Lane, Santa Clara, Hayward","10/1/2017 - 10/31/2017, Every day, Daily Average",2035,1499,2762
"1277","300 Hayes Street, Civic Center, San Francisco","892","2700 Ascot Drive, San Ramon","10/1/2017 - 10/31/2017, Every day, Daily Average",3191,2390,4259
"1277","300 Hayes Street, Civic Center, San Francisco","904","400 North Fernwood Circle, Snail, Sunnyvale","10/1/2017 - 10/31/2017, Every day, Daily Average",2800,2226,3521
"1277","300 Hayes Street, Civic Center, San Francisco","905","1000 Pine Street, Lower Nob Hill, San Francisco","10/1/2017 - 10/31/2017, Every day, Daily Average",514,339,777
"1277","300 Hayes Street, Civic Center, San Francisco","906","2700 Octavia Street, Cow Hollow, San Francisco","10/1/2017 - 10/31/2017, Every day, Daily Average",422,275,647
"1277","300 Hayes Street, Civic Center, San Francisco","907","2500 Turk Street, Richmond District, San Francisco","10/1/2017 - 10/31/2017, Every day, Daily Average",461,325,653
"1277","300 Hayes Street, Civic Center, San Francisco","908","1200 18th Street, Potrero Hill, San Francisco","10/1/2017 - 10/31/2017, Every day, Daily Average",693,483,993
"1277","300 Hayes Street, Civic Center, San Francisco","909","1400 40th Avenue, Sunset District, San Francisco","10/1/2017 - 10/31/2017, Every day, Daily Average",1027,760,1387
"1277","300 Hayes Street, Civic Center, San Francisco","910","700 La Playa Street, Richmond District, San Francisco","10/1/2017 - 10/31/2017, Every day, Daily Average",1086,828,1422
"1277","300 Hayes Street, Civic Center, San Francisco","915","300 Dolores Way, Sunshine Gardens, South San Francisco","10/1/2017 - 10/31/2017, Every day, Daily Average",1306,1035,1647
"1277","300 Hayes Street, Civic Center, San Francisco","920","100 Whisman Station Drive, Mountain View","10/1/2017 - 10/31/2017, Every day, Daily Average",2642,2078,3357
"1277","300 Hayes Street, Civic Center, San Francisco","927","800 Aspen Way, Palo Verde, Palo Alto","10/1/2017 - 10/31/2017, Every day, Daily Average",2456,1933,3120
"1277","300 Hayes Street, Civic Center, San Francisco","930","400 Northlake Drive, West San Jose, San Jose","10/1/2017 - 10/31/2017, Every day, Daily Average",3446,2777,4275
